ID,WF_ID,SALARY_MONTH,STARTDATE,ENDDATE,PAID_DAYS,OVERTIME_HOURS,TOTAL_LEAVE_TAKEN_CURRENT_MONTH,LEAVE_CARRY_FORWARD,TOTAL_LEAVE_AVAILABLE,LEAVE_ADJUSTED,LEAVE_BALANCE,LEAVE_DEDUCTION,BASIC_DA,HRA,SPECIAL_ALLOWANCES,ACTUAL_BASIC_DA,ACTUAL_HRA,ACTUAL_SPECIAL_ALLOWANCES,PRODUCTION_INCENTIVE_BONUS,PF,ESI,TDS,SHOP_FLOOR_FINE,OTHER_DEDUCTION,ADVANCE,OVERTIME_WAGES,WORKINGDAY_WAGES,TOTAL_WAGES,TOTAL_WAGES_AFTER_DEDUCTION,EMPLOYER_EPF,EMPLOYER_ESI,ADMIN_CHARGES,EDLI_CHARGES,CREATED_ON,MODE_OF_PAYMENT,PAID_STATUS
8925FBE0-42E0-EB11-A40F-08F1EAEF4310,803655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,2.00,0.00,2,5,6,2,4,0,10791.00,0.00,710.00,830.00,0.00,55.00,0.00,106.00,7.00,0.00,0.00,0.00,0.00,0.00,885.00,885.00,772.00,106.00,28.76,4.43,4.43,2021-07-09 04:49:05.177,,UnPaid
8A25FBE0-42E0-EB11-A40F-08F1EAEF4310,813655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,25.58,90.67,1,0,1,1,0,0,10791.00,3228.00,0.00,10617.00,3176.00,0.00,6196.00,1274.00,150.00,0.00,0.00,0.00,0.00,6111.00,13793.00,13793.00,18565.00,1274.00,649.64,53.09,53.09,2021-07-09 04:49:05.943,,UnPaid
8B25FBE0-42E0-EB11-A40F-08F1EAEF4310,823655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,24.00,99.65,3,0,1,1,0,2,10791.00,4316.00,303.00,9961.00,3984.00,280.00,7553.00,1229.00,158.00,0.00,0.00,0.00,0.00,7383.00,14225.00,14225.00,20391.00,1229.00,682.50,51.21,51.21,2021-07-09 04:49:06.707,,UnPaid
8C25FBE0-42E0-EB11-A40F-08F1EAEF4310,833655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,23.33,80.98,3,0,1,1,0,2,10791.00,4316.00,1559.00,9683.00,3873.00,1399.00,6574.00,1330.00,158.00,0.00,0.00,0.00,0.00,6489.00,14955.00,14955.00,20041.00,1330.00,682.50,55.41,55.41,2021-07-09 04:49:07.537,,UnPaid
8D25FBE0-42E0-EB11-A40F-08F1EAEF4310,843655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,26.00,95.10,1,1,2,1,1,0,9634.00,1020.00,0.00,9634.00,1020.00,0.00,4956.00,1156.00,117.00,0.00,0.00,0.00,0.00,4871.00,10654.00,10654.00,14337.00,1156.00,507.33,48.17,48.17,2021-07-09 04:49:08.350,,UnPaid
8E25FBE0-42E0-EB11-A40F-08F1EAEF4310,853655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,24.00,113.60,3,0,1,1,0,2,10791.00,0.00,730.00,9961.00,0.00,674.00,6462.00,1276.00,128.00,0.00,0.00,0.00,0.00,6292.00,10635.00,10635.00,15693.00,1276.00,555.65,53.18,53.18,2021-07-09 04:49:09.050,,UnPaid
8F25FBE0-42E0-EB11-A40F-08F1EAEF4310,863655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,24.86,99.98,1,2,3,1,2,0,10791.00,2170.00,0.00,10318.00,2075.00,0.00,6400.00,1238.00,141.00,0.00,0.00,0.00,0.00,6230.00,12393.00,12393.00,17414.00,1238.00,610.77,51.59,51.59,2021-07-09 04:49:09.787,,UnPaid
9025FBE0-42E0-EB11-A40F-08F1EAEF4310,873655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,25.00,94.15,2,0,1,1,0,1,10791.00,0.00,289.00,10376.00,0.00,278.00,5100.00,1278.00,118.00,0.00,0.00,0.00,0.00,5015.00,10654.00,10654.00,14358.00,1278.00,512.01,53.27,53.27,2021-07-09 04:49:10.520,,UnPaid
9125FBE0-42E0-EB11-A40F-08F1EAEF4310,883655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,26.00,95.65,2,2,3,2,1,0,10791.00,2688.00,0.00,10791.00,2688.00,0.00,6283.00,1295.00,148.00,0.00,0.00,0.00,0.00,6198.00,13479.00,13479.00,18319.00,1295.00,642.27,53.96,53.96,2021-07-09 04:49:11.253,,UnPaid
9225FBE0-42E0-EB11-A40F-08F1EAEF4310,893655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,26.00,110.08,0,4,5,0,5,0,10791.00,1193.00,0.00,10791.00,1193.00,0.00,6512.00,1295.00,139.00,0.00,0.00,0.00,0.00,6342.00,11984.00,11984.00,17062.00,1295.00,601.12,53.96,53.96,2021-07-09 04:49:12.050,,UnPaid
